"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"MARJORAM",7,9,5,6,3,2,4,2,5,5
"MARQUE",21,16,17,15,16,19,24,23,19,22
"MARQUETTE",18,27,64,82,97,106,131,150,157,154
"MARROW",1,1,0,1,2,2,3,1,0,0
"MARROWFAT",0,3,3,1,4,2,9,9,1,3
"MARS",18,15,21,21,25,23,28,20,17,22
"MARSANNE",1,1,13,16,17,18,17,21,17,18
"MASON SANDHILL LOVEGRASS",3,1,3,5,5,6,6,4,6,7
"MATARO/MOURVEDRE",12,14,33,31,31,40,42,42,46,45
"MATUA",30,31,31,20,29,21,23,26,22,19
"MAX",0,0,0,0,0,0,0,88,0,0
"MAXIMILIAN",0,0,0,0,0,0,0,0,105,119
"MAXMILLIAN SUNFLOWER",2,4,6,7,6,5,5,0,0,0
"MAYOCOBA",14,9,28,24,26,14,8,28,30,26
"MEADOW",49,38,220,144,149,155,188,212,211,207
"MEADOW FOXTAIL",3,7,19,19,22,17,18,15,12,17
"MEDIO BLUESTEM",49,44,49,46,43,39,38,37,38,39
"MEDIUM GRAIN",91,75,220,116,167,206,253,204,230,204
"MEDIUM SHRIMP",4,3,1,1,0,0,0,2,1,0
"MELODY",3,2,5,3,5,3,7,7,7,6
"MELON",0,0,1,3,3,5,4,4,4,4
"MERIOT",1,0,16,21,13,11,14,8,5,6
"MERLOT",105,95,161,165,173,198,194,191,184,182
"MEUNIER",5,4,3,5,7,5,5,11,13,16
"MEXICAN",0,1,4,2,4,4,6,4,6,6
"MEXICAN GOLD POPPY",3,2,6,2,4,3,2,2,2,8
"MEYER SPRUCE",0,0,3,3,3,4,5,7,8,8
"MID SEASON",0,0,57,55,60,63,66,61,56,47
"MIDSEASON",146,148,210,224,221,223,241,240,240,238
"MILKTHISTLE",1,0,2,2,0,0,0,1,1,5
"MILL CREEK",0,0,2,0,0,0,0,3,3,4
"MINI",19,22,34,33,32,34,42,44,48,53
"MINI EGGPLANT",24,20,35,27,27,22,34,26,21,21
"MINI PUMPKINS",232,220,261,236,239,214,219,258,257,246
"MINIATURE CARNATION",1,3,2,2,0,0,0,0,0,0
"MINNEOLA",13,12,22,21,22,21,29,25,25,31
"MINNOWS",6,7,13,12,11,13,17,15,19,21
"MINT",48,49,70,70,69,47,62,65,71,70
"MINT APPLE",1,1,0,3,1,0,0,0,2,1
"MISCANTHUS",0,11,54,93,89,82,80,77,70,64
"MISSION",2,3,4,8,8,6,4,4,4,4
"MIXED CUT",61,60,98,97,92,79,76,78,82,77
"MIXED WILDFLOWERS/POLLINATOR HABITAT",0,0,0,0,0,0,0,0,45,52
"MIXTURES",0,0,0,0,0,0,0,0,641,723
"MIZUNA/JAPANESE MUSTARD",12,7,16,24,34,22,27,22,21,22
"MNZ",0,0,0,12,20,27,37,32,0,0
"MOLLUCCELLA",0,1,0,0,0,0,0,0,0,0
"MONARDA",3,4,4,5,5,5,5,5,8,6
"MONKSHOOD/ACONITUM",0,0,0,0,1,1,0,0,0,0
"MONTBRETIA",0,0,1,0,0,0,0,0,0,0
"MOQUA",2,1,4,4,4,0,2,2,0,0
"MOUNTAIN BROME",317,325,228,210,232,242,239,242,242,257
"MOUNTAIN MINT",1,0,3,3,2,1,0,1,1,1
"MULLEIN",0,0,0,0,0,0,0,0,1,0
"MULLERTHURGAU",4,4,2,6,3,4,7,5,4,4
"MUNG",14,19,11,15,22,30,30,33,35,40
"MUNROS GLOBEMALLOW",0,1,2,0,0,2,2,2,2,2
"MURCOTTS",3,4,21,18,20,17,32,22,23,35
"MUSCADINE",103,99,148,154,151,157,165,158,162,165
"MUSCAT",29,28,78,70,73,89,82,79,65,71
"MUSCAT- GOLDEN",0,0,0,10,10,7,13,17,0,0
"MUSCAT  GOLDEN",0,0,0,0,0,0,0,0,20,20
"MUSCAT BLANC/MUSCAT CANELLI",18,19,32,31,35,42,28,26,28,26
"MUSCAT GOLDEN",0,0,13,0,0,0,0,0,0,0
"MUSCAT HAMBURG",0,0,0,2,2,5,3,1,0,0
"MUSCAT OF ALEXANDER",3,3,10,12,12,14,12,12,8,10
"MUSCAT OTTONEL",5,4,6,6,10,10,9,9,7,9
"MUSCAT, GOLDEN",7,8,0,0,0,0,0,0,0,0
"MUSSEL",0,0,2,2,3,2,3,3,2,4
"MUTTON",1,1,2,4,4,2,2,2,2,4
"MWF",0,0,0,0,0,0,11,23,0,0
"MYOTHE",3,3,2,2,2,0,3,0,6,2
"MYRTLE",1,1,1,1,1,1,1,1,1,1
"NAPA CABBAGE",63,58,91,104,74,95,103,106,113,111
"NAPIER",14,0,26,17,24,17,16,22,17,14
"NARCISSUS",1,0,0,3,3,0,0,4,0,0
"NATCHEZ",1,3,26,30,38,38,64,79,88,90
"NATIVE",4554,4510,9917,8703,7350,7421,7765,7801,7864,7943
"NATIVE GRASS INTERSEEDED",255,266,845,673,592,617,626,660,707,705
"NATIVE PECANS",222,209,353,321,255,258,266,265,240,245
"NATIVE SPEARMINT",14,14,34,32,38,40,36,38,40,37
"NAVAHO",14,13,28,35,42,41,46,58,65,55
"NAVEL",33,42,71,51,50,65,76,69,69,92
"NEBBIOLO",2,3,14,14,10,14,15,11,10,16
"NEEDLE AND THREAD",49,55,18,9,11,4,5,5,4,4
"NEGRO AMARO",0,0,0,0,0,0,0,0,4,4
"NEPTUNE",1,2,4,3,4,6,8,8,8,9
"NEWHY HYBRID WHEATGRASS",2,1,8,6,6,5,4,5,4,3
"NGA",0,0,0,0,0,0,0,4,0,0
"NIAGARA",57,54,59,67,77,81,81,72,70,70
"NIGELA",1,3,7,0,1,1,1,2,3,2
"NOBLE FIR",15,13,20,18,14,17,15,18,16,16
"NOIRET",7,8,10,14,18,27,31,37,33,35
"NORCOAST TUFTED HAIRGRASS",0,0,1,0,0,1,2,3,2,1
"NORDMAN FIR",5,6,5,9,8,8,12,15,13,17
"NORTHERN SEA OATS",0,1,0,0,0,0,0,0,0,0
"NORTON",32,30,49,52,59,70,67,67,67,60
"NORTRAN TUFTED HAIRGRASS",1,1,1,2,1,2,3,4,6,4
"NORWAY PINE/RED PINE",1,1,15,9,15,18,16,18,19,15
"NORWAY SPRUCE",30,31,57,57,54,57,64,69,67,64
"NULL",0,0,0,71211,0,0,0,0,0,3970
"NURSERY CLAMS",8,7,11,8,7,7,6,9,8,12
"NY76.0844.24",5,5,8,5,6,10,11,9,9,8
"NY81",0,0,0,0,0,0,0,0,2,2
"OCTOBER",11,7,11,3,4,3,3,4,2,6
"OGO (RED)",1,2,4,2,2,2,2,2,0,1
"OILSEED",6,8,20,24,20,24,26,26,8,9
"OILSEED/GRAIN INTERSEEDED",0,0,0,0,0,0,0,0,18,15
"OLALLIEBERRIES",2,1,2,2,0,0,0,0,0,0
"OLD FIELD GOLDENROD",0,0,0,0,0,0,2,2,2,2
"OLD WORLD BLUESTEM",358,368,470,454,450,461,437,447,447,449
"OPEN POLLINATED",169,156,321,326,285,276,263,321,264,237
"OPEN POLLINATED MUSTARD",17,12,25,22,22,10,20,34,12,14
"OPO",5,3,2,2,2,2,4,8,6,6
"ORACH",0,1,1,0,4,2,6,2,0,4
"ORCHARD",1485,1449,2266,2012,1968,1971,1989,2081,2143,2221
"ORCHID CATTLEYAS",2,1,2,1,3,2,0,1,1,2
"ORCHID CYMBIDIUM",0,1,2,2,2,2,2,2,2,2
"ORCHID DENDROBIUM",0,0,2,4,2,2,2,2,4,2
"ORCHID DENDROBIUM SPRAY",0,0,2,0,0,0,0,1,2,2
"ORCHID MOTH",0,0,0,0,0,0,0,1,1,1
"ORCHID PHALAENOPSIS",0,0,0,1,0,0,0,1,1,2
"OREGANO",23,26,30,33,23,15,30,27,33,27
"ORIENTAL",90,95,170,166,149,131,147,178,147,170
"ORIENTAL RED",5,3,8,9,7,4,16,12,10,8
"ORIENTAL SWEET",5,7,11,10,12,7,9,5,17,18
"ORL",0,0,0,0,0,8,33,24,0,0
"ORLANDO",5,6,13,10,9,8,16,16,12,20
"ORLEANS",0,0,0,0,0,0,0,0,35,42
"ORNAMENTAL",582,522,651,652,550,507,501,520,504,477
"ORNAMENTAL BLUE FLAX",1,2,3,0,1,3,3,3,4,6
"ORNAMENTAL OKRA",0,0,2,2,0,0,0,0,2,2
"ORNAMENTAL PEPPERS",1,1,1,0,1,5,3,1,3,0
"OSG",0,0,0,0,0,0,12,30,0,0
"OTHER BENT",20,12,18,16,17,17,12,14,11,14
"OTHER BROME",712,744,725,577,544,558,594,599,608,604
"OTHER CREEPING FOXTAIL",1,1,5,3,4,3,4,8,6,7
"OXEYE",2,0,4,6,3,1,0,1,1,0
"OYSTERS",10,9,17,18,17,22,35,50,51,67
"PACHYSANDRA",1,0,0,0,0,0,0,0,0,0
"PALOMINO CHASSELAS",1,1,2,5,4,2,2,2,2,2
"PAMPAS",0,0,4,0,0,0,0,2,0,0
"PANGOLA",0,1,13,21,21,13,11,10,17,18
"PANSY",1,1,3,3,1,1,5,1,4,0
"PAPDAI VALOR",0,0,0,0,1,0,1,0,2,0
"PAPRIKA",13,11,33,30,26,19,22,13,15,12
"PARSLEY",79,88,137,140,130,109,122,118,115,105
"PARTRIDGE",11,11,11,14,13,6,9,11,13,8
"PARTRIDGE PEA",3,1,5,2,3,2,2,5,4,5
"PAYON DOR",0,0,0,0,0,1,1,1,1,2
"PEA",107,126,150,142,101,140,107,97,111,94
"PEARL",0,0,26,297,324,360,395,453,451,633
"PENSTEMAN STRICTIS",5,6,10,11,10,10,10,10,7,9
"PEONY",25,23,33,33,32,32,38,40,46,52
"PEPINO",1,2,5,2,1,0,2,0,0,2
"PEPPERMINT",50,54,123,107,109,113,114,114,124,121
"PERCH",4,6,7,10,9,15,9,8,11,13
"PERENNIAL RYEGRASS",234,224,329,322,329,329,322,329,328,348
"PERILLA/SHISO/JAPANESE BASIL",1,2,1,3,2,3,4,2,1,4
"PERLETTE",0,0,0,1,3,5,4,9,7,8
"PERSONAL/MINI",10,6,25,34,35,34,39,50,49,57
"PETALSTEMUM",0,0,0,0,2,1,0,0,0,0
"PETIT MANSENG",0,0,0,0,0,0,0,0,9,9
"PETITA SIRAH",14,15,35,37,34,49,46,52,47,52
"PETITA VARDOT",28,28,54,63,76,88,95,91,91,93
"PETITE AMIE",4,4,11,9,12,14,15,19,18,22
"PETUNIA",0,1,0,1,2,2,1,0,3,1
"PHYSOSTEGIA",0,0,0,1,0,0,0,0,0,0
"PICKLING",408,407,588,560,520,470,495,548,506,477
"PIGEON",6,6,7,10,9,6,10,11,10,9
"PIMENTO",9,11,13,20,19,10,13,12,10,9
"PINK",57,55,68,70,75,75,55,48,42,35
"PINK EYED",15,14,67,72,59,61,52,52,55,53
"PINOT BLANC",13,13,33,30,33,30,34,31,33,33
"PINOT BLANC (SPARKLING WINE)",0,0,2,3,1,0,0,0,0,0
"PINOT GRIS",54,51,104,105,112,127,111,110,115,105
"PINOT GRIS (SPARKLING WINE)",3,2,1,2,2,1,0,0,0,2
"PINOT NOIR",70,73,124,121,124,134,120,130,132,121
"PINOT NOIR - SPARKLING WINE",1,0,0,1,1,0,2,2,4,2
"PINOT NOIR  SPARKLING WINE",0,0,2,0,0,0,0,0,0,0
"PINOT ST GEORGE",1,1,1,2,1,7,5,5,7,4
"PINTO",271,309,410,442,420,390,432,389,391,342
"PITCHER SAGE",0,0,2,4,2,2,0,0,0,0
"PLAINS BLUE STEMS",50,52,86,79,79,80,76,76,72,71
"PLAINS BRISTLE",12,12,12,11,11,8,7,5,9,11
"PLUM",211,231,296,260,224,231,267,262,240,232
"PLUMERIA",1,1,4,3,4,2,0,2,0,0
"POBLANO",29,35,74,77,91,87,99,112,103,100
"POI",2,1,0,0,0,2,2,2,4,0
"POLAR BROME",15,13,30,24,19,17,17,12,13,13
"POLE",40,47,60,53,48,43,41,41,42,39
"POLE COLOMBUS",10,5,0,0,0,0,0,1,1,0
"PONGEE/STRIPED SNAKHEAD",0,0,0,0,0,0,0,0,1,0
"POPCORN",322,344,478,444,506,574,511,490,475,441
"PORT",2,4,7,5,5,4,5,5,7,5
"PRAIRIE",298,274,441,375,373,382,384,406,415,422
"PRAIRIE CARNATION",0,0,1,3,0,0,0,0,1,0
"PRAIRIE CONEFLOWER",0,1,4,5,4,5,4,3,3,3
"PRAIRIE DROPSEED",9,7,6,7,7,6,4,4,4,3
"PRAIRIE JUNE",1,2,6,6,6,7,3,0,0,0
"PRAIRIE SANDREED",1,1,2,1,0,3,3,2,4,6
"PRAIRIE STAR",13,12,16,20,26,28,31,32,32,32
"PRARIE CONEFLOWER",6,2,11,12,9,3,4,1,4,4
"PRARIE CORDGRASS",5,7,13,14,8,7,6,10,13,11
"PRARIE VIOLET",0,0,0,1,0,0,0,0,0,0
"PRAWNS",8,9,10,11,8,8,9,10,10,10
"PRESTINE SEEDLESS",1,1,2,1,1,1,1,0,0,1
"PRIME-JAN",0,0,0,0,0,0,1,4,4,3
"PRIME-JIM",0,0,0,0,0,0,1,4,3,3
"PRIME ARK 45",0,0,0,4,2,4,11,25,27,36
"PRIMITIVO",2,7,14,14,12,21,17,28,30,25
"PRINCESS",3,2,4,8,8,7,6,9,7,7
"PROTEA",2,2,5,4,4,4,4,4,4,4
"PTM",0,0,0,0,0,7,7,7,0,0
"PUBESCENT WHEAT",163,163,152,153,152,150,154,151,158,156
"PURPLE",16,13,14,13,9,9,15,10,18,12
"PURPLE HULL",224,215,254,250,235,210,229,215,222,193
"PURPLE PHACILIA",0,1,1,0,0,0,2,0,1,0
"PURPLE PRAIRIE",9,9,13,18,15,17,16,15,18,17
"PURPLE PRAIRIE CLOVER",2,3,3,4,4,0,0,4,5,6
"PUSSY WILLOW",0,0,0,0,0,0,0,0,2,1
"PWL",0,0,0,0,4,4,4,3,0,0
"QUAIL HAVEN",1,1,2,0,1,4,1,0,1,0
"QUEEN",0,0,1,2,1,1,1,3,3,2
"QUEEN ANNE'S LACE",0,1,0,0,2,0,0,1,0,0
"QUEEN ANNES LACE",0,0,0,0,0,0,0,0,5,10
"RABBITEYE BLUEBERRIES",107,101,178,174,205,193,189,200,208,207
"RACEWAY CLAMS",7,5,7,7,5,4,1,3,3,7
"RAL",0,0,0,0,0,1,1,3,0,0
"RALLI/ANAHITA",0,0,0,0,0,0,0,0,2,2
"RANUNCULUS",1,0,0,0,0,0,0,1,2,0
"RAPE/RAPINI/CHINESE BROCCOLI",17,12,26,20,15,16,24,21,17,22
"RASCANA",1,1,0,0,0,0,0,0,0,0
"RAVAT",0,0,3,2,2,2,2,2,3,2
"RAYON DOR",1,1,1,2,3,1,1,1,1,1
"RECAO",6,6,14,14,12,9,11,9,10,12
"RED",2,5,9,14,9,20,19,22,23,36
"RED (MEXICAN)",10,9,12,12,15,11,15,14,11,15
"RED CABBAGE",112,112,191,173,167,172,185,203,196,188
"RED CEDAR",9,7,12,9,9,8,8,6,10,12
"RED CHILI",47,47,74,60,59,45,54,72,59,64
"RED CLOVER",1011,1014,1206,1210,1123,1192,1250,1230,1182,1119
"RED GLOBE",15,16,20,20,20,23,25,24,22,18
"RED GLOW",6,6,8,12,10,8,8,9,10,7
"RED RASPBERRIES",332,342,470,451,446,431,460,455,431,400
"RED RATIBITA",1,1,1,2,2,1,1,1,1,0
"RED SPANISH",1,1,0,1,1,1,1,0,1,0
"RED SUFFOLK",2,1,1,2,3,2,4,4,4,4
"RED SWISSCHARD",45,45,71,85,84,80,89,103,92,83
"RED TILAPIA",3,3,8,3,2,2,3,4,3,0
"RED ZINFANDEL",4,4,7,6,6,7,7,7,7,7
"REDAL BLANC",2,3,0,0,0,0,0,0,0,0
"REDFISH",4,4,7,5,5,5,3,5,8,3
"REDS",563,588,909,916,858,816,851,912,913,829
"REDTOP",31,32,48,36,28,24,21,23,22,21
"REED CANARY",262,240,317,299,304,341,366,375,374,391
"REGAR BROME",195,190,154,154,146,152,155,159,144,143
"REGENT",0,0,0,0,0,0,0,0,1,2
"RELIANCE",21,21,27,21,20,26,35,31,30,27
"RHODES",3,3,3,3,4,1,5,3,3,7
"RIBER",1,2,0,0,0,1,1,0,0,0
"RIESLING",73,78,133,132,139,156,151,141,136,130
"RIO RED/STAR RUBY",8,6,10,8,7,18,21,24,17,30
"RIP",0,0,0,0,0,1,0,0,0,0
"RIVER OATS",2,1,0,1,1,0,0,2,2,3
"RIVERBANK WILDRYE",1,0,4,5,1,0,0,1,5,3
"ROBUSTA COFFEE",6,5,5,6,6,5,5,6,5,5
"ROEMERS FESCUE",0,2,2,0,0,0,1,2,2,4
"ROMA",17,18,38,29,23,29,28,35,29,22
"ROMAINE LETTUCE",71,73,147,139,120,101,118,140,141,152
"RONDO",5,6,7,6,8,9,7,1,3,1
"ROOT",0,0,0,0,0,0,0,0,1,2
"ROSE",8,7,19,22,22,19,10,12,16,8
"ROSE HYBRID TEA",0,0,0,0,2,0,0,0,0,0
"ROSE SWEETHEART",1,0,0,0,0,0,0,0,0,0
"ROSEMARY",20,19,24,34,36,32,34,45,37,31
"ROSETTE",2,1,4,3,2,4,4,4,6,8
"ROT",0,0,0,0,0,2,0,4,0,0
"ROUGEON",6,7,8,6,5,5,5,6,5,5
"ROUGH BLUEGRASS",2,1,5,4,2,3,6,6,6,5
"ROUSSANNE",6,5,19,22,25,29,31,33,36,38
"ROYALTY",3,3,6,6,6,2,4,2,2,2
"RUBIRED",7,8,17,17,19,17,19,15,12,14
"RUBY CABERNET",13,12,30,31,31,34,28,30,31,37
"RUBY RED",20,21,42,33,31,30,44,32,33,64
"RUBY RED SEEDLESS",10,10,15,20,20,25,25,25,25,27
"RUBY SEEDLESS",6,5,6,3,2,4,4,4,2,0
"RUDBECKIA",5,4,10,4,5,7,5,8,7,11
"RUFF FAIRWAY CRSTD WHT GRS",3,3,2,1,1,1,2,1,1,3
"RUGBY BLUEGRASS",2,1,1,1,0,0,0,0,0,0
"RUNNER PEANUTS",297,301,521,561,508,518,551,554,578,536
"RUSSETS",356,362,656,662,614,606,652,616,602,609
"RUSSIAN WILD RYEGRASS",99,98,138,131,127,113,112,113,105,110
"SABREVOIS",1,1,13,14,17,21,22,22,24,27
"SAG",0,0,0,0,0,3,2,6,0,0
"SAGE",35,30,37,32,35,29,36,35,34,44
"SAGRANTINO",0,0,0,0,0,0,0,0,10,10
"SAINFOIN",150,203,326,328,340,365,349,350,360,377
"SAINT AUGUSTINE",60,57,98,83,70,69,70,82,84,87
"SALVA",2,4,5,2,8,7,8,7,8,12
"SALVADOR",1,1,4,2,2,2,2,2,2,0
"SAND BLUESTEM",37,33,14,22,17,15,13,15,17,17
"SAND DROPSEED",8,9,12,7,5,6,7,5,2,2
"SAND LOVEGRASS",25,22,46,34,34,33,27,29,35,24
"SANDBERG BLUEGRASS",6,7,17,12,11,6,4,3,4,9
"SANGIOVET/SANGIOVESE",27,29,61,55,60,65,58,70,66,65
"SAT",0,0,0,0,0,0,2,8,0,0
"SATSUMA",0,0,0,0,0,0,0,0,20,33
"SAUVIGNON VERT",3,2,6,0,2,7,4,4,4,4
"SAUVIGON BLANC/FUME BLANC",43,40,75,60,65,93,91,84,87,84
"SAVORY",5,5,5,6,4,2,0,5,4,3
"SAVOY",20,25,58,59,54,58,54,66,64,53
"SCABIOSA",0,1,3,2,1,1,5,4,4,5
"SCARLET GLOBEMALLOW",0,1,2,3,4,4,2,0,0,0
"SCARLET ROYAL",0,0,0,0,0,0,0,0,8,8
"SCHUREBE",2,1,2,1,2,3,2,2,3,1
"SCOTCH BONNET",0,0,0,4,7,1,5,9,5,6
"SCOTCH PINE",95,90,109,92,97,99,99,100,88,90
"SCOTCH SPEARMINT",23,26,40,40,40,44,45,52,53,47
"SCR",0,0,0,4,10,10,4,10,0,0
"SEASHORE PASPALUM",0,0,0,0,0,0,0,0,2,2
"SECAR BLUEBUNCH",5,6,12,12,10,11,9,9,3,4
"SEDAHLIA",1,2,2,1,1,0,0,0,0,0
"SEDUM",3,3,2,0,0,0,0,0,2,0
"SEEDLESS",311,285,595,615,621,578,613,604,634,602
"SEEDY",2,3,1,0,0,3,0,4,5,2
"SELF-HEAL",2,4,0,4,5,2,3,8,8,6
"SELFHEAL",0,0,7,0,0,0,0,0,0,0
"SELMA PETE",0,0,0,0,0,0,0,0,2,2
"SEMILLON",11,11,25,21,23,29,27,27,23,29
"SERBIAN SPRUCE",2,3,9,7,8,9,5,11,11,12
"SERRANO",14,18,46,47,55,49,52,58,43,62
"SEYVAL/SEYVAL VILLARD",43,42,58,58,55,63,66,61,60,62
"SF CLING EARLIES",24,21,43,52,49,38,37,39,33,38
"SF CLING EXT EARLY",10,7,22,19,25,22,19,16,22,18
"SF CLING EXT LATE",7,6,13,10,17,12,10,10,12,12
"SF CLING LATE",17,11,25,20,26,27,23,20,21,20
"SHANGHI BOK CHOY",30,27,44,41,44,58,68,83,54,62
"SHELLCRACK",1,1,2,5,6,8,4,4,4,2
"SHELLI",19,13,25,18,18,12,16,18,12,17
"SHERIDAN",1,2,3,3,2,2,3,3,4,4
"SHITAKE",4,3,1,4,1,2,2,4,9,8
"SHORT",2,1,4,3,1,2,0,4,2,1
"SHORT GRAIN",12,9,26,22,26,32,29,19,31,27
"SHUBUNKIN CARP",1,0,4,2,4,4,2,4,2,0
"SHUM CHOY",2,3,7,6,5,3,4,2,3,8
"SIBERIAN WHEAT",11,10,14,16,12,8,11,13,16,19
"SIERRA",0,0,0,0,0,0,0,0,2,0
"SILKY WILDRYE",1,1,1,0,1,1,1,2,3,3
"SINGUA",4,4,5,4,2,2,3,2,2,2
"SLENDER HAIR",1,3,2,1,2,0,3,3,1,2
"SLENDER WILD RYE",0,1,1,1,5,3,2,1,1,1
"SLP",0,0,0,0,2,4,0,2,0,0
"SMALL BURNETT",21,7,30,18,12,11,11,13,12,8
"SMALL GRAIN/GRASS/VEGTB",0,0,0,0,0,0,0,0,189,194
"SMALL GRAIN/LEGUME/VEGTB",0,0,0,0,0,0,0,0,228,221
"SMALL MOUTH BASS",0,0,6,2,2,4,4,9,5,4
"SMALL RED",47,52,93,102,67,82,120,98,84,88
"SMALL SEEDED FOOD GRADE",0,0,0,0,0,0,0,0,66,56
"SMALL SHRIMP",1,1,2,0,0,0,0,0,0,0
"SMALL WHITE",38,31,59,66,44,49,66,66,45,44
"SMOOTH",1,1,3,3,4,0,1,2,2,0
"SMOOTH BROME",587,475,1437,1385,1389,1459,1495,1588,1615,1678
"SMUT",1,1,4,3,4,3,4,3,2,2
"SNAP",252,258,321,334,313,256,299,283,258,237
"SNAP WAX",99,105,197,171,153,131,151,158,145,142
"SNAPDRAGON",15,14,26,16,9,10,11,14,17,21
"SNOW",95,96,147,150,118,83,92,85,88,96
"SOFT RED WINTER",3010,3463,3616,3540,3744,3889,3868,3709,3118,2973
"SOFT STEM BLURUSH",0,0,5,4,6,2,2,1,0,0
"SOFT WHITE SPRING",244,229,508,388,380,387,393,366,367,321
"SOFT WHITE WINTER",403,409,732,653,653,607,637,621,606,540
"SOLDIER",8,6,8,10,8,7,7,6,2,2
"SOMERSET SEEDLESS",2,3,5,11,12,9,15,17,19,20
"SORRELL",8,5,4,10,8,4,7,11,7,6
"SOUTHEAST SPANISH PEANUTS",5,6,10,14,22,18,12,22,11,2
"SOUTHERN ACRE",21,20,26,31,35,27,23,24,12,17
"SOUTHWEST SPANISH PEANUTS",49,47,73,75,74,61,60,78,85,66
"SPAGHETTI SQUASH",97,89,142,142,157,167,189,205,216,194
"SPANISH CLOVER",2,1,2,1,0,0,0,2,0,0
"SPECIALITY",98,103,218,215,200,189,203,220,215,217
"SPECIALTY",237,227,334,322,331,354,395,399,428,416
"SPECKLED/COLORED",16,7,16,16,23,19,29,27,27,12
"SPIDERWORT",4,4,4,3,2,1,2,4,1,4
"SPIKE MUHLEY",2,0,1,2,2,0,0,0,0,2
"SPORT",1,2,2,0,0,0,1,1,1,1
"SPRIGS BERMUDA",86,74,96,85,72,70,62,0,0,0
"SPRING",3351,3319,4147,4255,4336,4189,4310,4247,3913,3817
"SPRING BARLEY",1331,1328,1948,1772,1905,1807,1868,1814,1794,1763
"SPRING CANOLA",234,264,304,312,284,280,336,299,315,302
"SPS",0,0,0,0,0,0,0,2,0,0
"SSD",0,0,0,0,20,49,43,54,0,0
"ST CROIX",36,33,48,47,49,44,44,45,45,50
"ST EMILION (UGNI BLANC)",0,1,2,6,6,6,4,4,8,8
"ST JOHNS WORT",0,1,2,2,2,1,1,2,2,1
"ST PEPIN",14,12,19,24,26,21,28,27,31,31
"ST VINCENT",9,10,22,23,22,21,26,28,23,28
"STAR OF BETHLEHEM",0,0,0,1,1,0,0,0,0,0
"STARGRASS",3,1,23,27,23,22,20,19,28,25
"STATICE",13,16,14,5,11,8,14,19,13,11
"STATICE DINUATA",1,2,2,1,0,0,0,0,0,0
"STATICE GERMAN",2,2,0,0,0,1,1,1,4,3
"STEUBEN",13,11,12,13,12,15,19,21,16,14
"STEVIA",0,0,5,1,10,8,7,5,3,3
"STF",0,0,0,0,0,0,0,2,0,0
"STIFF GOLDENROD",2,3,1,3,0,1,0,1,1,2
"STOCK",7,3,7,6,3,6,11,8,13,9
"STORAGE",21,18,26,33,30,20,27,43,27,34
"STRAWBERRY POPCORN",1,1,3,3,1,4,2,3,6,2
"STRAWFLOWERS",6,4,7,3,6,3,1,6,7,9
"STRIPED",200,165,290,255,240,222,227,239,217,198
"STRIPED BASS",7,6,10,12,18,19,14,15,18,17
"STUKEN",1,1,1,1,1,0,1,1,1,0
"STURGEON (CAVIAR)",1,2,4,6,4,0,4,2,2,2
"STURGEON(FISH)",0,0,0,0,0,0,0,0,2,2
"SUB CLOVER",5,5,8,4,8,2,2,8,9,7
"SUDAN",1212,1164,1397,1383,1468,1457,1470,1502,1435,1490
"SUDEX",1128,1063,1540,1636,1726,1719,1701,1680,1644,1802
"SUGAR",422,417,627,581,559,525,557,558,555,478
"SUK GAT",3,3,3,5,2,4,4,2,1,1
"SULFUR",2,1,3,1,1,1,0,0,0,0
"SUMMER ROYAL",3,5,6,8,8,8,6,8,8,8
"SUMMER SQUASH",644,599,881,872,768,686,740,801,755,692
"SUN",5,5,8,9,6,7,3,0,0,0
"SUNBELT",0,0,1,0,0,0,0,1,0,1
"SUNBURST",5,2,4,5,11,3,7,11,8,12
"SUNFLOWER OIL",1013,970,1269,1168,1147,1081,1095,993,947,934
"SUNFLOWERS",67,60,116,91,94,101,98,107,113,113
"SUPER",1,3,0,0,1,0,0,0,1,1
"SUPERIOR SEEDLESS",2,2,6,4,4,6,4,4,6,4
"SWAMP MILKWEED",0,0,1,0,1,0,0,1,1,2
"SWEET",2608,2559,3677,3456,3400,3333,3272,3221,1033,1020
"SWEET- EARLY",0,0,0,182,167,149,172,190,0,0
"SWEET- LATE",0,0,0,56,42,22,40,34,0,0
"SWEET  BICOLOR",0,0,0,0,0,0,0,0,1158,1109
"SWEET  EARLY",0,0,0,0,0,0,0,0,157,168
"SWEET  LATE",0,0,0,0,0,0,0,0,39,45
"SWEET  WHITE",0,0,0,0,0,0,0,0,552,550
"SWEET  YELLOW/GOLDEN EARLY",0,0,0,0,0,0,0,0,1081,1000
"SWEET  YELLOW/GOLDEN LATE",0,0,0,0,0,0,0,0,337,292
"SWEET ANNIE",5,3,3,2,3,3,3,1,1,2
"SWEET BONIATO",7,7,5,5,13,11,10,24,17,13
"SWEET CHERRY",38,40,58,61,69,56,61,63,59,47
"SWEET EARLY",0,0,182,0,0,0,0,0,0,0
"SWEET HAYMAN",11,16,8,9,7,4,9,9,5,2
"SWEET LATE",0,0,52,0,0,0,0,0,0,0
"SWEET PEA",2,0,8,4,4,2,5,7,9,1
"SWEET SCARLET",0,0,5,6,5,6,5,6,5,6
"SWEET WILLIAM",3,3,11,2,7,11,7,4,4,11
"SWEET, EARLY",118,116,0,0,0,0,0,0,0,0
